,MONTH,NKB_Банки з державною часткою,NRB_Банки з державною часткою,QUARTER,YEAR,Банк  ,Банк   ,"Кредити, що надані субєктам господарювання за видами економічної діяльності, що класифікуються за секціями (А,B-E,F)","Кредитні операції, що класифіковані за I категорією якості","Кредитні операції, що класифіковані за I категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за II категорією якості","Кредитні операції, що класифіковані за II категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за III категорією якості","Кредитні операції, що класифіковані за III категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за IV категорією якості","Кредитні операції, що класифіковані за IV категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за V категорією якості","Кредитні операції, що класифіковані за V категорією якості__величина кредитного ризику за такими операціями",МФО,Рентабельність активів (%),№ п/п,№п/п
35,01,,232,4,2017,,"ПАТ ""ДІАМАНТБАНК""",1081344.30702,1404803.68219,1730.91358,2618119.31215,52604.32148,757143.4878,209521.46089,61867.63491,327.66875,693631.23996,328665.03833,320854,-7.8298,36,
36,01,,305,4,2017,,"ПАТ ""БАНК ВОСТОК""",1560812.84469,2927764.22098,5136.25991,3297567.66231,43320.24752,63643.68779,7660.78597,70295.10114,39838.24315,372039.93661,130560.58,307123,1.36,37,
37,01,,62,4,2017,,"АТ ""ТАСКОМБАНК""",2230495.6141,6396057.22629,13189.07653,3325068.47609,15250.68151,13626.80995,1186.41805,298436.09225,203393.18357,155318.90667,136544.58768,339500,0.1035,38,
38,01,,389,4,2017,,"ПАТ ""МІБ""",788657.40078,395754.05392,55.94885,1885724.39322,32854.44439,265428.84011,43682.35214,281583.81621,108328.16635,180014.41027,180014.41027,380582,0.7041,39,
39,01,,242,4,2017,,"ПАТ ""УНІВЕРСАЛ БАНК""",661437.556,724786.75374,3400.22122,759184.43711,30100.6444,762115.1554,43009.56535,1108131.38026,111798.41834,2280530.56977,1773247.00904,322001,1.3784,40,
40,01,,320,4,2017,,БАНК ІНВЕСТ. ТА ЗАОЩАДЖЕНЬ,695879.91012,685879.41778,4143.14915,4525807.7945,115042.37834,33957.85048,323.08195,5273.39623,0.89634,98018.42451,98017.72916,380281,0.1598,41,
41,01,,96,4,2017,,"ПАТ ""А - БАНК""",255328.24525,6671677.80417,46234.03144,603579.40122,53633.317,71158.87546,26171.75517,158221.92067,129948.72263,433345.02936,433345.02936,307770,3.17,42,
42,01,,288,4,2017,,"АБ ""КЛІРИНГОВИЙ ДІМ""",364712.4922,1646889.71327,3645.9114,136397.56369,109.92872,417316.88873,24328.86181,191080.15612,91246.64109,176792.60946,89226.09288,300647,-2.84,43,
43,01,,191,4,2017,,"ПАТ АКБ ""АРКАДА""",387450.51028,318366.31049,3117.44148,187759.53158,10663.42291,552640.42311,101978.52713,1527.32327,1215.17467,4829.63444,4829.63444,322335,0.3983,44,
44,01,,113,4,2017,,"ПАТ ""Полтава-банк""",428589.42925,305500.24825,770.95635,247223.55854,469.4211,100795.69122,1.46802,41112.35068,21954.8401,43457.59804,43286.76649,331489,4.46,45,
